Events for energy 89.716412 GeV:
Cross section pb: 0.0917013117148437
Total number of events: 996240

pid = 11, p = (0.07494109670306282, 0.3257815935972727, 0.337600531350689, 0.4751044038851922), Parent_PIDs = (-421, 90), theta = 0.7804710384098316, phi = 1.3446949079566493
pid = -12, p = (0.38520063514099445, -0.35529495945757905, 4.504566055298219, 4.53494535623903), Parent_PIDs = (-421, 90), theta = 0.11581387623599221, phi = 5.538151236106057
pid = 321, p = (-0.2156698901273213, 0.10375533334782322, 3.4271600668577746, 3.4707959803149238), Parent_PIDs = (-421, 90), theta = 0.06972003433836654, phi = 2.693192037047219
pid = 22, p = (0.0006536983164297239, -0.08234753390072813, 1.4894623993532543, 1.4917371694598802), Parent_PIDs = (111, 90), theta = 0.05523225850922772, phi = 4.720327100140654
pid = 22, p = (-0.1628178470916756, -0.19660185191929536, 8.587534397325468, 8.59132754379425), Parent_PIDs = (111, 90), theta = 0.029716704513941858, phi = 4.020711423919814
pid = 22, p = (0.0060202727279890685, -0.028004932101852037, 0.30290708104893943, 0.3042584750756127), Parent_PIDs = (111, 90), theta = 0.09428563515546795, phi = 4.9241382566853575
pid = 22, p = (-0.4819173210655813, -0.8831564843470232, 15.598360093206695, 15.630772446604496), Parent_PIDs = (111, 90), theta = 0.06441027238521627, phi = 4.212871579093893

pid = -12, p = (-0.08526251687234442, 0.5752113886885123, 3.5631111957864556, 3.6102491925072373), Parent_PIDs = (-12, -12), theta = 0.16177285218029408, phi = 1.7179529596388268
pid = -211, p = (-0.10452133311861926, 0.029734079123079134, 1.15844506533104, 1.1718718269623296), Parent_PIDs = (1, -4), theta = 0.09353170917296025, phi = 2.864435823549302
pid = -211, p = (0.6095372016832148, 0.32104129222588573, 11.555077408736215, 11.576437138357203), Parent_PIDs = (4, 2203), theta = 0.05954957251123458, phi = 0.48477624223071686
pid = 211, p = (-0.31121278040462197, -0.6249004858042818, 10.374843039436573, 10.3992404477294), Parent_PIDs = (4, 2203), theta = 0.06718720313812722, phi = 4.250326830139851
pid = -211, p = (0.07266617336090053, 0.3453299852926866, 0.3300569660468791, 0.5029419024392721), Parent_PIDs = (4, 2203), theta = 0.8188224588021334, phi = 1.3633968098830975
pid = 2212, p = (0.3798998400630541, 0.0990285592326737, 4.735277649588959, 4.843277356875236), Parent_PIDs = (2224, 90), theta = 0.08271928503315802, phi = 0.2549956993745514
pid = 211, p = (-0.06508121064422612, -0.06472319469109655, 0.185129616436792, 0.2493539967435323), Parent_PIDs = (2224, 90), theta = 0.46027615970064745, phi = 3.9242327053162724
pid = 22, p = (-0.07334342880859475, 0.1133745393628407, 0.8046679316974708, 0.8159188225720884), Parent_PIDs = (-423, 90), theta = 0.1662590494629254, phi = 2.144998147342868
pid = -13, p = (-0.21805518953138275, 0.18691324218416244, 1.6749158797117716, 1.7026426123811247), Parent_PIDs = (411, 90), theta = 0.16982057392396357, phi = 2.4329431332668032
pid = 14, p = (0.1889625996687232, 0.1348594291669188, 3.121465606043595, 3.1300864939202393), Parent_PIDs = (411, 90), theta = 0.0742356567665108, phi = 0.6198503973360134
pid = 11, p = (0.07494109670306282, 0.3257815935972727, 0.337600531350689, 0.4751044038851922), Parent_PIDs = (-421, 90), theta = 0.7804710384098316, phi = 1.3446949079566493
pid = -12, p = (0.38520063514099445, -0.35529495945757905, 4.504566055298219, 4.53494535623903), Parent_PIDs = (-421, 90), theta = 0.11581387623599221, phi = 5.538151236106057
pid = 321, p = (-0.2156698901273213, 0.10375533334782322, 3.4271600668577746, 3.4707959803149238), Parent_PIDs = (-421, 90), theta = 0.06972003433836654, phi = 2.693192037047219
pid = 22, p = (0.0006536983164297239, -0.08234753390072813, 1.4894623993532543, 1.4917371694598802), Parent_PIDs = (111, 90), theta = 0.05523225850922772, phi = 4.720327100140654
pid = 22, p = (-0.1628178470916756, -0.19660185191929536, 8.587534397325468, 8.59132754379425), Parent_PIDs = (111, 90), theta = 0.029716704513941858, phi = 4.020711423919814
pid = 22, p = (0.0060202727279890685, -0.028004932101852037, 0.30290708104893943, 0.3042584750756127), Parent_PIDs = (111, 90), theta = 0.09428563515546795, phi = 4.9241382566853575
pid = 22, p = (-0.4819173210655813, -0.8831564843470232, 15.598360093206695, 15.630772446604496), Parent_PIDs = (111, 90), theta = 0.06441027238521627, phi = 4.212871579093893

pid = -12, p = (-0.08526251687234442, 0.5752113886885123, 3.5631111957864556, 3.6102491925072373), Parent_PIDs = (-12, -12), theta = 0.16177285218029408, phi = 1.7179529596388268
