Energy,Cross_section_pb,Total_events,pid,momentum,parent_pids,theta,phi
,,,-211,"(0.007663747289578332, -0.14174331068024482, 6.822573676338873, 6.825477364486475)","(-421, 90)",0.020802979867098104,4.766404174806672
,,,22,"(0.04817308776601001, 0.006616948525768884, 0.8416888622430314, 0.8430922673211239)","(111, 90)",0.057707097172141085,0.13650358150719538
,,,22,"(-0.06278372619735195, 0.024605462473052047, 0.32773613652080275, 0.33460155444994444)","(111, 90)",0.20292235689601626,2.768081296733596
,,,-13,"(0.66907366776727, -0.3469723955406038, 13.166796682274821, 13.188773571645319)","(421, 90)",0.057179356384583366,5.804779507914374
,,,14,"(0.20256018254221192, -0.00809014749828156, 2.8868654954909063, 2.893974510443041)","(421, 90)",0.07010698723195087,6.24326704776955
,,,22,"(-0.1617340248774498, -0.11055023388470903, 2.337533542329603, 2.345728524474008)","(111, 90)",0.08361354695997697,3.7411799327609097
,,,22,"(-0.4825454711110117, -0.08358882735206066, 5.300469095786104, 5.323045167865046)","(111, 90)",0.09213247269400397,3.3131153214968307
,,,-211,"(0.11969198648447646, 0.36132956562497787, 3.4550894097885143, 3.4787940210877792)","(-323, 90)",0.1097248376781648,1.2509180326824567
,,,211,"(-0.1512028089447362, 0.10347864625928951, 4.3378539043238185, 4.3439643644742105)","(310, 90)",0.04221273171376753,2.54143391614344
,,,-211,"(0.2176798141030819, 0.39602567997283267, 11.455557917259101, 11.465317606644991)","(310, 90)",0.03942835444761342,1.0682135327141637
,,,,,,,
,,,14,"(-2.089393563895413, -1.9538199228443724, 55.63106485279025, 55.70456313814072)","(14, 14)",0.051375490183592665,3.893472214639708
,,,-211,"(0.3300340378604888, -0.26428317880777685, 14.159293694879217, 14.166292591482557)","(4, 2101)",0.029852062754006564,5.607971664801401
,,,211,"(0.020009233518367614, 0.6068063042069194, 21.551738533177634, 21.56074042902064)","(4, 2101)",0.028163648099260405,1.5378336072176224
,,,-211,"(-0.09355929938518645, 0.02077694437944988, 0.5247918436541027, 0.5514265934692179)","(4, 2101)",0.180631475209229,2.9230664206249752
,,,-211,"(0.32744129676684114, -0.20734951972640947, 0.991680826209739, 1.0738353095941457)","(-213, 90)",0.37257002214080936,5.718681237541844
,,,2212,"(0.7358041852753322, -0.3007566979256961, 4.974085773053731, 5.12384057724393)","(2224, 90)",0.15846785776635278,5.895162458823843
,,,211,"(0.16720984885787493, 0.07972391269465572, 1.903411163924798, 1.9174902554286875)","(2224, 90)",0.09701615750109446,0.44490745559703815
,,,211,"(0.058336992458748654, 0.1157807224683353, 4.021997002858419, 4.026505688098122)","(223, 90)",0.032223361169667376,1.1040674330855083
,,,-211,"(-0.09205778680072166, 0.06812520803644212, 1.3795880288330218, 1.3913513554383157)","(223, 90)",0.08282307675899088,2.5045051572168857
,,,211,"(0.05605926021805926, 0.0505847858297578, 2.0713625170300984, 2.077432050169369)","(413, 90)",0.03643717637761283,0.7341091001704898
,,,22,"(-0.04975704353376793, 0.39294008985855805, 1.6789266987017581, 1.7250137788472495)","(111, 90)",0.23167544189825384,1.6967535164572731
,,,22,"(0.03140067798332498, 0.06620642425850837, 0.5445376273183984, 0.5494456485917985)","(111, 90)",0.13376104779281878,1.127931971073819
,,,22,"(0.4445259826675151, 0.4805200541924826, 4.397882604785744, 4.446332677299878)","(111, 90)",0.14775983221658107,0.8242891171175027
,,,22,"(0.2227019667208699, 0.2383183242548766, 1.6309055723522967, 1.663203167260924)","(111, 90)",0.1973934542950967,0.8192586878672619
,,,22,"(-0.1373655075965104, -0.07530948905207953, 2.151744790249467, 2.1574397892372934)","(111, 90)",0.072675505578315,3.6430848619310687
,,,22,"(-0.11606166492017206, -0.05819553818239738, 0.7102980931487917, 0.7220667641286305)","(111, 90)",0.1807930231813254,3.6063749160338996
,,,22,"(-0.07710223030586678, -0.05803656298463758, 0.892239020539357, 0.8974427370781045)","(111, 90)",0.10774038268097193,3.7868337163579118
,,,22,"(-0.08446615685237102, -0.1844821068994064, 0.8262964553703203, 0.8508431180758347)","(111, 90)",0.240788730115925,4.283021610840807
,,,321,"(-0.060336683859492535, 0.7813388583427728, 6.554908493209739, 6.620020862786517)","(-421, 90)",0.11898916345573854,1.6478655471407062
,,,-211,"(0.007663747289578332, -0.14174331068024482, 6.822573676338873, 6.825477364486475)","(-421, 90)",0.020802979867098104,4.766404174806672
,,,22,"(0.04817308776601001, 0.006616948525768884, 0.8416888622430314, 0.8430922673211239)","(111, 90)",0.057707097172141085,0.13650358150719538
,,,22,"(-0.06278372619735195, 0.024605462473052047, 0.32773613652080275, 0.33460155444994444)","(111, 90)",0.20292235689601626,2.768081296733596
,,,-13,"(0.66907366776727, -0.3469723955406038, 13.166796682274821, 13.188773571645319)","(421, 90)",0.057179356384583366,5.804779507914374
,,,14,"(0.20256018254221192, -0.00809014749828156, 2.8868654954909063, 2.893974510443041)","(421, 90)",0.07010698723195087,6.24326704776955
,,,22,"(-0.1617340248774498, -0.11055023388470903, 2.337533542329603, 2.345728524474008)","(111, 90)",0.08361354695997697,3.7411799327609097
,,,22,"(-0.4825454711110117, -0.08358882735206066, 5.300469095786104, 5.323045167865046)","(111, 90)",0.09213247269400397,3.3131153214968307
,,,-211,"(0.11969198648447646, 0.36132956562497787, 3.4550894097885143, 3.4787940210877792)","(-323, 90)",0.1097248376781648,1.2509180326824567
,,,211,"(-0.1512028089447362, 0.10347864625928951, 4.3378539043238185, 4.3439643644742105)","(310, 90)",0.04221273171376753,2.54143391614344
,,,-211,"(0.2176798141030819, 0.39602567997283267, 11.455557917259101, 11.465317606644991)","(310, 90)",0.03942835444761342,1.0682135327141637
,,,,,,,
,,,14,"(-2.089393563895413, -1.9538199228443724, 55.63106485279025, 55.70456313814072)","(14, 14)",0.051375490183592665,3.893472214639708
,,,-211,"(0.3300340378604888, -0.26428317880777685, 14.159293694879217, 14.166292591482557)","(4, 2101)",0.029852062754006564,5.607971664801401
,,,211,"(0.020009233518367614, 0.6068063042069194, 21.551738533177634, 21.56074042902064)","(4, 2101)",0.028163648099260405,1.5378336072176224
,,,-211,"(-0.09355929938518645, 0.02077694437944988, 0.5247918436541027, 0.5514265934692179)","(4, 2101)",0.180631475209229,2.9230664206249752
,,,-211,"(0.32744129676684114, -0.20734951972640947, 0.991680826209739, 1.0738353095941457)","(-213, 90)",0.37257002214080936,5.718681237541844
,,,2212,"(0.7358041852753322, -0.3007566979256961, 4.974085773053731, 5.12384057724393)","(2224, 90)",0.15846785776635278,5.895162458823843
,,,211,"(0.16720984885787493, 0.07972391269465572, 1.903411163924798, 1.9174902554286875)","(2224, 90)",0.09701615750109446,0.44490745559703815
,,,211,"(0.058336992458748654, 0.1157807224683353, 4.021997002858419, 4.026505688098122)","(223, 90)",0.032223361169667376,1.1040674330855083
,,,-211,"(-0.09205778680072166, 0.06812520803644212, 1.3795880288330218, 1.3913513554383157)","(223, 90)",0.08282307675899088,2.5045051572168857
,,,211,"(0.05605926021805926, 0.0505847858297578, 2.0713625170300984, 2.077432050169369)","(413, 90)",0.03643717637761283,0.7341091001704898
,,,22,"(-0.04975704353376793, 0.39294008985855805, 1.6789266987017581, 1.7250137788472495)","(111, 90)",0.23167544189825384,1.6967535164572731
,,,22,"(0.03140067798332498, 0.06620642425850837, 0.5445376273183984, 0.5494456485917985)","(111, 90)",0.13376104779281878,1.127931971073819
,,,22,"(0.4445259826675151, 0.4805200541924826, 4.397882604785744, 4.446332677299878)","(111, 90)",0.14775983221658107,0.8242891171175027
,,,22,"(0.2227019667208699, 0.2383183242548766, 1.6309055723522967, 1.663203167260924)","(111, 90)",0.1973934542950967,0.8192586878672619
,,,22,"(-0.1373655075965104, -0.07530948905207953, 2.151744790249467, 2.1574397892372934)","(111, 90)",0.072675505578315,3.6430848619310687
,,,22,"(-0.11606166492017206, -0.05819553818239738, 0.7102980931487917, 0.7220667641286305)","(111, 90)",0.1807930231813254,3.6063749160338996
,,,22,"(-0.07710223030586678, -0.05803656298463758, 0.892239020539357, 0.8974427370781045)","(111, 90)",0.10774038268097193,3.7868337163579118
,,,22,"(-0.08446615685237102, -0.1844821068994064, 0.8262964553703203, 0.8508431180758347)","(111, 90)",0.240788730115925,4.283021610840807
,,,321,"(-0.060336683859492535, 0.7813388583427728, 6.554908493209739, 6.620020862786517)","(-421, 90)",0.11898916345573854,1.6478655471407062
,,,-211,"(0.007663747289578332, -0.14174331068024482, 6.822573676338873, 6.825477364486475)","(-421, 90)",0.020802979867098104,4.766404174806672
,,,22,"(0.04817308776601001, 0.006616948525768884, 0.8416888622430314, 0.8430922673211239)","(111, 90)",0.057707097172141085,0.13650358150719538
,,,22,"(-0.06278372619735195, 0.024605462473052047, 0.32773613652080275, 0.33460155444994444)","(111, 90)",0.20292235689601626,2.768081296733596
,,,-13,"(0.66907366776727, -0.3469723955406038, 13.166796682274821, 13.188773571645319)","(421, 90)",0.057179356384583366,5.804779507914374
,,,14,"(0.20256018254221192, -0.00809014749828156, 2.8868654954909063, 2.893974510443041)","(421, 90)",0.07010698723195087,6.24326704776955
,,,22,"(-0.1617340248774498, -0.11055023388470903, 2.337533542329603, 2.345728524474008)","(111, 90)",0.08361354695997697,3.7411799327609097
,,,22,"(-0.4825454711110117, -0.08358882735206066, 5.300469095786104, 5.323045167865046)","(111, 90)",0.09213247269400397,3.3131153214968307
,,,-211,"(0.11969198648447646, 0.36132956562497787, 3.4550894097885143, 3.4787940210877792)","(-323, 90)",0.1097248376781648,1.2509180326824567
,,,211,"(-0.1512028089447362, 0.10347864625928951, 4.3378539043238185, 4.3439643644742105)","(310, 90)",0.04221273171376753,2.54143391614344
,,,-211,"(0.2176798141030819, 0.39602567997283267, 11.455557917259101, 11.465317606644991)","(310, 90)",0.03942835444761342,1.0682135327141637
,,,,,,,
,,,14,"(-2.605796436629111, -0.02148272658379912, 64.55120623433346, 64.60378365764765)","(14, 14)",0.040347360480038445,3.1498366743415622
,,,211,"(0.6204222324428303, -0.1820673738787212, 1.9749786084170446, 2.0828088159371143)","(2, -4)",0.31639060658186285,5.997741833728207
,,,211,"(-0.24885135755227833, 0.05055437125500217, 18.293707454211333, 18.296002157514515)","(4, 2101)",0.013880085121071906,2.9411692493206028
,,,2112,"(0.9507759649848135, -0.373304248033674, 9.627477492674888, 9.726995715741538)","(4, 2101)",0.1057004692928974,5.909047494848553
,,,-2112,"(0.05644855376261461, -0.2264496598300201, 9.52495606641366, 9.574029754480053)","(4, 2101)",0.024496973140239832,4.9566864831164885
,,,2112,"(-0.29790257732559666, -0.28515184577406644, 1.7786144321350523, 2.0533676251038644)","(4, 2101)",0.227829292755666,3.905125449082871
,,,-211,"(0.00043103743867898767, 0.06284658465892412, 1.0381025643227593, 1.0493267355547808)","(-413, 90)",0.06046748058156158,1.5639378684943752
,,,-13,"(0.7725963685570648, 0.14280518053737823, 34.96449966696192, 34.97348566364062)","(421, 90)",0.02246710939815804,0.18277513889563637
,,,14,"(0.2913031340022031, -0.14688461011702278, 3.0175727129869356, 3.035156945321292)","(421, 90)",0.1076951202227301,5.816157153045753
,,,13,"(0.09607025996113185, 0.9549741159043867, 7.95087747242018, 8.00929595369874)","(-421, 90)",0.12013422524483479,1.470533791344114
,,,-14,"(0.3640369909524601, 0.2568519993186615, 1.8415616563196302, 1.8946886853418454)","(-421, 90)",0.23736893981179374,0.6144515471013444
,,,321,"(-0.6551001369598897, 0.20741041951959477, 7.514813320269866, 7.5622955808719565)","(-421, 90)",0.09118583582742126,2.834968995442451
,,,-321,"(0.2393391470922235, -0.0713811830070156, 18.750342584831348, 18.758503284952088)","(-323, 90)",0.013319336026579465,5.993341379845441
,,,22,"(0.09294227697210511, -0.16485375266339386, 3.794784397248814, 3.7995004471928944)","(111, 90)",0.049829425206286845,5.225754986252564
,,,22,"(0.3232845423007612, -0.20386727130623272, 8.552230530721786, 8.560766426565458)","(111, 90)",0.044660061843726506,5.720560218199905
,,,,,,,
,,,14,"(-2.605796436629111, -0.02148272658379912, 64.55120623433346, 64.60378365764765)","(14, 14)",0.040347360480038445,3.1498366743415622
,,,211,"(0.6204222324428303, -0.1820673738787212, 1.9749786084170446, 2.0828088159371143)","(2, -4)",0.31639060658186285,5.997741833728207
,,,211,"(-0.24885135755227833, 0.05055437125500217, 18.293707454211333, 18.296002157514515)","(4, 2101)",0.013880085121071906,2.9411692493206028
,,,2112,"(0.9507759649848135, -0.373304248033674, 9.627477492674888, 9.726995715741538)","(4, 2101)",0.1057004692928974,5.909047494848553
,,,-2112,"(0.05644855376261461, -0.2264496598300201, 9.52495606641366, 9.574029754480053)","(4, 2101)",0.024496973140239832,4.9566864831164885
,,,2112,"(-0.29790257732559666, -0.28515184577406644, 1.7786144321350523, 2.0533676251038644)","(4, 2101)",0.227829292755666,3.905125449082871
,,,-211,"(0.00043103743867898767, 0.06284658465892412, 1.0381025643227593, 1.0493267355547808)","(-413, 90)",0.06046748058156158,1.5639378684943752
,,,-13,"(0.7725963685570648, 0.14280518053737823, 34.96449966696192, 34.97348566364062)","(421, 90)",0.02246710939815804,0.18277513889563637
,,,14,"(0.2913031340022031, -0.14688461011702278, 3.0175727129869356, 3.035156945321292)","(421, 90)",0.1076951202227301,5.816157153045753
,,,13,"(0.09607025996113185, 0.9549741159043867, 7.95087747242018, 8.00929595369874)","(-421, 90)",0.12013422524483479,1.470533791344114
,,,-14,"(0.3640369909524601, 0.2568519993186615, 1.8415616563196302, 1.8946886853418454)","(-421, 90)",0.23736893981179374,0.6144515471013444
,,,321,"(-0.6551001369598897, 0.20741041951959477, 7.514813320269866, 7.5622955808719565)","(-421, 90)",0.09118583582742126,2.834968995442451
,,,-321,"(0.2393391470922235, -0.0713811830070156, 18.750342584831348, 18.758503284952088)","(-323, 90)",0.013319336026579465,5.993341379845441
,,,22,"(0.09294227697210511, -0.16485375266339386, 3.794784397248814, 3.7995004471928944)","(111, 90)",0.049829425206286845,5.225754986252564
,,,22,"(0.3232845423007612, -0.20386727130623272, 8.552230530721786, 8.560766426565458)","(111, 90)",0.044660061843726506,5.720560218199905
,,,,,,,
,,,14,"(-2.605796436629111, -0.02148272658379912, 64.55120623433346, 64.60378365764765)","(14, 14)",0.040347360480038445,3.1498366743415622
,,,211,"(0.6204222324428303, -0.1820673738787212, 1.9749786084170446, 2.0828088159371143)","(2, -4)",0.31639060658186285,5.997741833728207
,,,211,"(-0.24885135755227833, 0.05055437125500217, 18.293707454211333, 18.296002157514515)","(4, 2101)",0.013880085121071906,2.9411692493206028
,,,2112,"(0.9507759649848135, -0.373304248033674, 9.627477492674888, 9.726995715741538)","(4, 2101)",0.1057004692928974,5.909047494848553
,,,-2112,"(0.05644855376261461, -0.2264496598300201, 9.52495606641366, 9.574029754480053)","(4, 2101)",0.024496973140239832,4.9566864831164885
,,,2112,"(-0.29790257732559666, -0.28515184577406644, 1.7786144321350523, 2.0533676251038644)","(4, 2101)",0.227829292755666,3.905125449082871
,,,-211,"(0.00043103743867898767, 0.06284658465892412, 1.0381025643227593, 1.0493267355547808)","(-413, 90)",0.06046748058156158,1.5639378684943752
,,,-13,"(0.7725963685570648, 0.14280518053737823, 34.96449966696192, 34.97348566364062)","(421, 90)",0.02246710939815804,0.18277513889563637
,,,14,"(0.2913031340022031, -0.14688461011702278, 3.0175727129869356, 3.035156945321292)","(421, 90)",0.1076951202227301,5.816157153045753
,,,13,"(0.09607025996113185, 0.9549741159043867, 7.95087747242018, 8.00929595369874)","(-421, 90)",0.12013422524483479,1.470533791344114
,,,-14,"(0.3640369909524601, 0.2568519993186615, 1.8415616563196302, 1.8946886853418454)","(-421, 90)",0.23736893981179374,0.6144515471013444
,,,321,"(-0.6551001369598897, 0.20741041951959477, 7.514813320269866, 7.5622955808719565)","(-421, 90)",0.09118583582742126,2.834968995442451
,,,-321,"(0.2393391470922235, -0.0713811830070156, 18.750342584831348, 18.758503284952088)","(-323, 90)",0.013319336026579465,5.993341379845441
,,,22,"(0.09294227697210511, -0.16485375266339386, 3.794784397248814, 3.7995004471928944)","(111, 90)",0.049829425206286845,5.225754986252564
,,,22,"(0.3232845423007612, -0.20386727130623272, 8.552230530721786, 8.560766426565458)","(111, 90)",0.044660061843726506,5.720560218199905
,,,,,,,
,,,14,"(-2.605796436629111, -0.02148272658379912, 64.55120623433346, 64.60378365764765)","(14, 14)",0.040347360480038445,3.1498366743415622
,,,211,"(0.6204222324428303, -0.1820673738787212, 1.9749786084170446, 2.0828088159371143)","(2, -4)",0.31639060658186285,5.997741833728207
,,,211,"(-0.24885135755227833, 0.05055437125500217, 18.293707454211333, 18.296002157514515)","(4, 2101)",0.013880085121071906,2.9411692493206028
,,,2112,"(0.9507759649848135, -0.373304248033674, 9.627477492674888, 9.726995715741538)","(4, 2101)",0.1057004692928974,5.909047494848553
,,,-2112,"(0.05644855376261461, -0.2264496598300201, 9.52495606641366, 9.574029754480053)","(4, 2101)",0.024496973140239832,4.9566864831164885
,,,2112,"(-0.29790257732559666, -0.28515184577406644, 1.7786144321350523, 2.0533676251038644)","(4, 2101)",0.227829292755666,3.905125449082871
,,,-211,"(0.00043103743867898767, 0.06284658465892412, 1.0381025643227593, 1.0493267355547808)","(-413, 90)",0.06046748058156158,1.5639378684943752
,,,-13,"(0.7725963685570648, 0.14280518053737823, 34.96449966696192, 34.97348566364062)","(421, 90)",0.02246710939815804,0.18277513889563637
,,,14,"(0.2913031340022031, -0.14688461011702278, 3.0175727129869356, 3.035156945321292)","(421, 90)",0.1076951202227301,5.816157153045753
,,,13,"(0.09607025996113185, 0.9549741159043867, 7.95087747242018, 8.00929595369874)","(-421, 90)",0.12013422524483479,1.470533791344114
,,,-14,"(0.3640369909524601, 0.2568519993186615, 1.8415616563196302, 1.8946886853418454)","(-421, 90)",0.23736893981179374,0.6144515471013444
,,,321,"(-0.6551001369598897, 0.20741041951959477, 7.514813320269866, 7.5622955808719565)","(-421, 90)",0.09118583582742126,2.834968995442451
,,,-321,"(0.2393391470922235, -0.0713811830070156, 18.750342584831348, 18.758503284952088)","(-323, 90)",0.013319336026579465,5.993341379845441
,,,22,"(0.09294227697210511, -0.16485375266339386, 3.794784397248814, 3.7995004471928944)","(111, 90)",0.049829425206286845,5.225754986252564
,,,22,"(0.3232845423007612, -0.20386727130623272, 8.552230530721786, 8.560766426565458)","(111, 90)",0.044660061843726506,5.720560218199905
,,,,,,,
,,,14,"(-2.605796436629111, -0.02148272658379912, 64.55120623433346, 64.60378365764765)","(14, 14)",0.040347360480038445,3.1498366743415622
,,,211,"(0.6204222324428303, -0.1820673738787212, 1.9749786084170446, 2.0828088159371143)","(2, -4)",0.31639060658186285,5.997741833728207
,,,211,"(-0.24885135755227833, 0.05055437125500217, 18.293707454211333, 18.296002157514515)","(4, 2101)",0.013880085121071906,2.9411692493206028
,,,2112,"(0.9507759649848135, -0.373304248033674, 9.627477492674888, 9.726995715741538)","(4, 2101)",0.1057004692928974,5.909047494848553
,,,-2112,"(0.05644855376261461, -0.2264496598300201, 9.52495606641366, 9.574029754480053)","(4, 2101)",0.024496973140239832,4.9566864831164885
,,,2112,"(-0.29790257732559666, -0.28515184577406644, 1.7786144321350523, 2.0533676251038644)","(4, 2101)",0.227829292755666,3.905125449082871
,,,-211,"(0.00043103743867898767, 0.06284658465892412, 1.0381025643227593, 1.0493267355547808)","(-413, 90)",0.06046748058156158,1.5639378684943752
,,,-13,"(0.7725963685570648, 0.14280518053737823, 34.96449966696192, 34.97348566364062)","(421, 90)",0.02246710939815804,0.18277513889563637
,,,14,"(0.2913031340022031, -0.14688461011702278, 3.0175727129869356, 3.035156945321292)","(421, 90)",0.1076951202227301,5.816157153045753
,,,13,"(0.09607025996113185, 0.9549741159043867, 7.95087747242018, 8.00929595369874)","(-421, 90)",0.12013422524483479,1.470533791344114
,,,-14,"(0.3640369909524601, 0.2568519993186615, 1.8415616563196302, 1.8946886853418454)","(-421, 90)",0.23736893981179374,0.6144515471013444
,,,321,"(-0.6551001369598897, 0.20741041951959477, 7.514813320269866, 7.5622955808719565)","(-421, 90)",0.09118583582742126,2.834968995442451
,,,-321,"(0.2393391470922235, -0.0713811830070156, 18.750342584831348, 18.758503284952088)","(-323, 90)",0.013319336026579465,5.993341379845441
,,,22,"(0.09294227697210511, -0.16485375266339386, 3.794784397248814, 3.7995004471928944)","(111, 90)",0.049829425206286845,5.225754986252564
,,,22,"(0.3232845423007612, -0.20386727130623272, 8.552230530721786, 8.560766426565458)","(111, 90)",0.044660061843726506,5.720560218199905
,,,,,,,
,,,14,"(-2.605796436629111, -0.02148272658379912, 64.55120623433346, 64.60378365764765)","(14, 14)",0.040347360480038445,3.1498366743415622
,,,211,"(0.6204222324428303, -0.1820673738787212, 1.9749786084170446, 2.0828088159371143)","(2, -4)",0.31639060658186285,5.997741833728207
,,,211,"(-0.24885135755227833, 0.05055437125500217, 18.293707454211333, 18.296002157514515)","(4, 2101)",0.013880085121071906,2.9411692493206028
,,,2112,"(0.9507759649848135, -0.373304248033674, 9.627477492674888, 9.726995715741538)","(4, 2101)",0.1057004692928974,5.909047494848553
,,,-2112,"(0.05644855376261461, -0.2264496598300201, 9.52495606641366, 9.574029754480053)","(4, 2101)",0.024496973140239832,4.9566864831164885
,,,2112,"(-0.29790257732559666, -0.28515184577406644, 1.7786144321350523, 2.0533676251038644)","(4, 2101)",0.227829292755666,3.905125449082871
,,,-211,"(0.00043103743867898767, 0.06284658465892412, 1.0381025643227593, 1.0493267355547808)","(-413, 90)",0.06046748058156158,1.5639378684943752
,,,-13,"(0.7725963685570648, 0.14280518053737823, 34.96449966696192, 34.97348566364062)","(421, 90)",0.02246710939815804,0.18277513889563637
,,,14,"(0.2913031340022031, -0.14688461011702278, 3.0175727129869356, 3.035156945321292)","(421, 90)",0.1076951202227301,5.816157153045753
